replay_buffer/Size,replay_buffer/MeanObs,replay_buffer/StdObs,replay_buffer/MeanGoal,replay_buffer/StdGoal,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/QF1 Grad Norm,trainer/QF2 Grad Norm,trainer/Policy Grad Norm,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/SuccessRate,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/SuccessRate,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/batch sampling (s),time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
2000,0.0385721,0.6132418,-0.032187957,0.90140516,10.521112,10.49839,-3.9602604,10.654779,10.557867,2.0029988,-0.004489685,0.0014855103,0.0010898891,-0.009331303,0.0020023216,0.0011719563,0.0071228994,-0.003308368,1.753617,2.7257137,18.637045,-2.839137,-3.9647772,0.54567564,-2.2958055,-5.271079,0.0017598128,0.0020237248,0.005414403,-0.005232475,0.0006723615,0.0011806515,0.0031841348,-0.0027177834,0.9997000694274902,-0.0,2000,26,76.92307692307692,10.65877420042386,80,40,[0.],-2.848130129635334,1.8594275933750217,-0.6001530647277832,-6.173200607299805,-219.08693304887174,55.6412673945282,-83.62398260831831,-282.855496323109,-0.010150563,0.62926936,0.99936616,-0.9986721,13,-219.08693304887174,960,12,80.0,0.0,80,80,[0.],-0.10731936356702745,0.0010110611761594993,-0.10584386521950365,-0.10898782536387444,-8.58554908536218,0.080726417745451,-8.483276764862227,-8.706232239492225,0.0015199215,0.0026055824,0.0054191235,-0.0051186937,12,-8.58554908536218,4.984537607058883,0.00861409492790699,6.1962187914177775,7.01766240876168,0.019776484929025173,0.041737109422683716,28.301353374496102,46.56989987101406,58.150819811969995,0
3000,0.044512544,0.6154478,-0.027388435,0.9195553,13.446665,13.620778,-8.718428,29.829496,25.814072,1.5731292,4.8658667,2.1503465,9.04158,-2.9588797,4.9468575,2.1113436,9.228749,-2.7103443,5.2515745,4.17253,18.857483,-2.985392,-3.7698443,0.8069626,-2.0235329,-7.9061723,-0.073264726,0.20897183,1.1891205,-0.7713273,-0.29287133,0.12458637,-0.12372216,-0.6151978,0.7421581149101257,-2.9104390144348145,3000,39,76.92307692307692,10.65877420042386,80,40,[0.],-2.6825388135671617,1.8676248837449796,-0.43669561147689817,-5.924607038497925,-206.34913950516614,52.08705643212802,-77.66474622488019,-278.8389274954795,-0.045509156,0.5468461,0.99729,-0.9947984,13,-206.34913950516614,1920,24,80.0,0.0,80,80,[0.],-3.1879786868859084,1.8587737009414016,-0.24467819035053254,-4.827382981777191,-255.03829495087268,112.86316827595303,-30.444999009370854,-374.9540470838547,-0.05532754,0.16232292,0.7657081,-0.58228385,12,-255.03829495087268,4.894346923567355,0.009142156690359116,6.246675665490329,6.958096299320459,0.027239532209932804,0.05280305631458759,27.864116522483528,46.05242015607655,104.21175853908062,1
4000,0.044311125,0.61813074,0.001072113,0.8957021,5.9204545,6.328556,-11.644173,42.78739,26.883665,2.2137809,7.637296,3.528195,13.729359,-5.355662,7.4632607,3.467583,13.407547,-3.137095,7.337146,3.8941615,18.540197,-4.837998,-3.2869043,1.0777063,-0.42535794,-7.507063,-0.051527873,0.34377345,1.4691277,-1.2038715,-0.3873396,0.16392961,-0.14277141,-0.7410223,0.5557864904403687,-5.452166557312012,4000,52,76.92307692307692,10.65877420042386,80,40,[0.],-2.2778121873736388,1.684047974798882,-0.5289923906326294,-5.93524432182312,-175.21632210566435,81.1432031693912,-105.14779233932482,-418.9579991221428,-0.041994266,0.5315903,0.9885908,-0.9981658,13,-175.21632210566435,2880,36,80.0,0.0,80,80,[0.],-1.4556163633521646,1.7814910070299983,-0.18496228605508805,-4.989062130451202,-116.44930906817324,132.89217505227106,-33.212445639073906,-350.9792230963707,-0.05287253,0.1958287,0.85931826,-0.7912766,12,-116.44930906817324,5.243531882762909,0.009094273671507835,6.40732482727617,7.0713681085035205,0.024099617265164852,0.05367730278521776,29.26680887211114,48.07590488437563,152.29655553307384,2
5000,0.042810213,0.6196393,0.030860143,0.8694529,3.6237462,3.7423031,-12.894381,52.641735,31.141037,3.0729647,9.339514,3.6115394,14.705752,-6.1799307,9.208337,3.620358,14.330414,-6.430462,8.988348,4.1886587,18.892595,-7.4809184,-2.8298922,1.1619072,0.93121946,-6.5361147,-0.01673648,0.42837492,1.5162876,-1.2580112,-0.40476164,0.14107744,-0.13161612,-0.77295077,0.4164814054965973,-7.731685638427734,5000,65,76.92307692307692,10.65877420042386,80,40,[0.],-1.648437081229687,0.9969606831305436,-0.5234644770622253,-5.824323773384094,-126.80285240228342,31.68279849580174,-62.974114799499546,-192.95490320920928,-0.0067376085,0.5419006,0.99906206,-0.99297863,13,-126.80285240228342,3840,48,80.0,0.0,80,80,[0.],-0.8687254398486888,1.1210032116396265,-0.1985265225172043,-5.11531662940979,-69.49803518789513,50.63567408891416,-39.45545741170652,-194.36247637569895,-0.0024947973,0.20489937,0.7861446,-0.82624626,12,-69.49803518789513,5.127513033337891,0.009117301553487778,6.531261923722923,7.2028234684839845,0.026138782501220703,0.05234647076576948,28.703780645504594,47.65298162586987,199.95871313661337,3
6000,0.041756585,0.6204592,0.032563776,0.81969553,3.2793534,3.3868632,-11.625172,97.76696,86.32417,2.627435,8.286049,5.0667186,15.909601,-20.315405,8.332387,5.1865335,15.73582,-21.205233,8.965786,5.2724705,18.744524,-19.021381,-2.1876369,1.5517712,2.1617434,-6.9447784,-0.021820687,0.52341074,1.5074177,-1.6411238,-0.5388871,0.16109285,-0.0013351105,-1.1214836,0.31280842423439026,-9.513097763061523,6000,78,76.92307692307692,10.65877420042386,80,40,[0.],-1.3698210733473302,0.4907523829095286,-0.5235155582427978,-5.573374152183533,-105.37085179594834,16.071655859920753,-52.8002620339394,-123.78270229101157,-0.007408062,0.5120031,0.98956704,-0.9881037,13,-105.37085179594834,4800,60,80.0,0.0,80,80,[0.],-0.5492770692287011,0.2861765300502676,-0.18451669663190842,-4.632159352302551,-43.94216553829617,5.473375453056791,-36.527142964303565,-55.135351362824515,-0.010547706,0.20154576,0.8687899,-0.82469434,12,-43.94216553829617,5.2029442908242345,0.00923758465796709,6.542321842163801,7.210691642016172,0.020854804664850235,0.06368844863027334,29.001768559217453,48.05150717217475,248.01900775544345,4
7000,0.042173553,0.62046015,0.04355762,0.7750258,3.3451715,3.9414017,-11.324538,69.30952,79.49647,3.980837,8.470657,6.6851444,15.960854,-35.285988,8.6359825,6.7004385,15.635279,-35.92399,7.8827324,6.642978,18.932323,-32.67121,-1.5382724,1.8079476,6.8770747,-7.7667594,-0.114612006,0.6353715,1.8696384,-2.0829399,-0.58968806,0.1477779,0.3157751,-1.1014122,0.23638422787189484,-10.87038803100586,7000,91,76.92307692307692,10.65877420042386,80,40,[0.],-1.5533653696656229,1.0177891665221068,-0.5286987781524658,-5.703380465507507,-119.48964382043239,41.451170198456424,-56.74804123640064,-239.70513439774504,-0.004482844,0.49811205,0.98915476,-0.9886041,13,-119.48964382043239,5760,72,80.0,0.0,80,80,[0.],-0.6314940884523091,0.3427987801855443,-0.22759685516357422,-4.842859983444214,-50.51952707618483,4.880372596270824,-41.92197327315814,-60.219180095195846,0.0039841994,0.23708946,0.93394,-0.90075815,12,-50.51952707618483,5.130480350926518,0.00933526735752821,6.602347212843597,7.148325443267822,0.0295362351462245,0.05343578942120075,28.640452914871275,47.61391321383417,295.6425848165527,5
8000,0.040501647,0.6206719,0.039630096,0.73873657,2.9957786,3.315432,-10.064043,49.730488,64.47593,2.5232093,7.8435965,7.112788,15.1537485,-28.559624,8.115885,7.234597,15.941136,-30.67149,7.384375,7.372258,18.93739,-29.483644,-0.7700964,1.9592063,8.429632,-8.734394,-0.018005045,0.7090854,2.2134411,-2.2217727,-0.70952535,0.18793714,0.14198342,-1.5302584,0.18028438091278076,-11.596871376037598,8000,104,76.92307692307692,10.65877420042386,80,40,[0.],-1.2766511974334718,0.48277065188012225,-0.42240861654281614,-5.654418110847473,-98.2039382641131,13.462121439864772,-54.97318655252461,-112.87637948989858,-0.0011164086,0.47784245,0.98885816,-0.99757904,13,-98.2039382641131,6720,84,80.0,0.0,80,80,[0.],-0.6592403196434798,0.3138410212534978,-0.19079544991254807,-5.366472601890564,-52.7392255714785,3.8062632458128576,-45.69667768478401,-60.68204568475495,-0.010092534,0.25287956,0.93509305,-0.98641026,12,-52.7392255714785,5.251060597598553,0.009194470010697842,6.70782214961946,7.132699206471443,0.02853141352534294,0.05314317625015974,29.088076858781278,48.270527872256935,343.9230194585398,6
9000,0.03951912,0.62071127,0.03184632,0.7079199,2.6816611,2.4303317,-8.867539,47.240936,24.01237,2.6904852,8.02496,7.291075,17.046951,-24.816435,7.8297405,7.495718,16.943302,-26.476645,7.612542,7.395702,19.088663,-26.983454,0.34844616,2.0937736,10.478647,-5.5257607,-0.010339347,0.76685244,2.473331,-2.1337695,-0.86471623,0.2573588,-0.052125096,-1.6621383,0.13882529735565186,-11.157773971557617,9000,118,71.42857142857143,21.956822193029815,80,3,[0.07143],-1.1380395487070083,0.7708247699024401,18.931618177890776,-5.38201642036438,-81.28853919335766,27.25633145620559,-4.631809401512147,-100.88563675880425,-0.012299901,0.4343115,0.99637973,-0.99858314,14,-81.28853919335766,7680,96,80.0,0.0,80,80,[0.],-0.6366859593863287,0.4302381303099635,-0.18859682083129883,-5.481591820716858,-50.9348767509064,5.95431932859058,-42.10389915108689,-63.224085678160286,0.010293963,0.25551364,0.95801926,-0.9744522,12,-50.9348767509064,5.189602157101035,0.009560891427099705,6.60087376460433,7.05649368558079,0.02021802682429552,0.05259148310869932,29.047272413037717,47.97661242168397,391.9067887449637,7
10000,0.042306677,0.619242,0.02977731,0.68157613,2.2805815,2.1486654,-8.244752,48.246048,16.82073,2.8285172,7.636718,6.9717917,16.357628,-22.847717,7.8481402,6.692343,15.680077,-22.041811,7.9365454,6.917694,19.006529,-21.24936,0.82353336,2.1338108,11.530373,-6.446997,-0.08662156,0.79738826,2.187613,-2.6401548,-0.94624823,0.3025421,-0.15982744,-1.8858733,0.1074562817811966,-11.545705795288086,10000,131,76.92307692307692,10.65877420042386,80,40,[0.],-1.0963883816540243,0.42689310639543854,-0.32995844483375547,-5.853872656822205,-84.33756781954025,7.2932349482344385,-62.37955991029743,-93.62480162978162,-0.0045135906,0.41659808,0.9977943,-0.989213,13,-84.33756781954025,8640,108,80.0,0.0,80,80,[0.],-0.656053393919331,0.48929324864799156,-0.17202082127332688,-5.366223335266113,-52.48427151354659,7.06660463159802,-43.11790408939131,-68.97728069722653,-0.010426184,0.25478375,0.9819051,-0.98078555,12,-52.48427151354659,5.138394707813859,0.009190201759338379,6.572843027301133,6.9354808535426855,0.028614421375095844,0.045632438734173775,28.659376127645373,47.38953177817166,439.3025154992938,8
11000,0.03915918,0.61883533,0.023366697,0.65913624,2.667396,2.6705794,-8.529739,17.860981,18.082836,3.4795659,8.68438,5.872251,16.78582,-13.871476,8.675348,5.7889256,16.875137,-12.182614,8.660353,6.0059085,19.476484,-13.098541,1.6568233,1.9867835,7.0873594,-3.363517,0.04355466,0.82153547,2.3786702,-2.375739,-1.066876,0.4139537,-0.18422404,-2.4176364,0.08330520242452621,-10.792750358581543,11000,144,76.92307692307692,10.65877420042386,80,40,[0.],-1.462179546356201,1.437973003636104,-0.30783227682113645,-6.157864332199097,-112.47534971970775,103.1858671601422,-49.697376489639325,-466.4289871454239,-0.02606932,0.4279378,0.9989919,-0.9976303,13,-112.47534971970775,9600,120,80.0,0.0,80,80,[0.],-0.7060977162312094,0.716327940569799,-0.1747046172618866,-5.608737945556641,-56.48781729849682,18.632407699044816,-39.33058241009719,-97.71089919805515,0.004078274,0.2530113,0.98664033,-0.9896521,12,-56.48781729849682,5.221915320493281,0.009032205678522587,6.629570706747472,6.812036498449743,0.02198891993612051,0.054569896310567856,29.24430517386645,47.99341872148216,487.30360993091017,9
